"office","name","party","year"
"US Representative District 7","Skelly","D",2008
"US Representative District 29","Green","D",2008
"US Representative District 29","Story","R",2008
"State Representative District 134","Agris","R",2008
"State Representative District 134","Cohen","D",2008
"State Representative District 145","Alvarado","D",2008
"State Representative District 145","Rodriquez","R",2008
"State Representative District 136","Woolley","R",2008
"State Representative District 130","Fletcher","R",2008
"State Representative District 138","Bohac","R",2008
"State Representative District 138","McDavid","D",2008
"State Representative District 143","Hernandez","D",2008
"State Representative District 143","Olmos","R",2008
"State Representative District 127","Crabb","R",2008
"State Representative District 127","Montemayor","D",2008
"State Representative District 135","Elkins","R",2008
"State Representative District 135","Fleming","D",2008
"State Representative District 144","Legler","R",2008
"State Representative District 144","Redmond","D",2008
"State Representative District 126","Harless","R",2008
"State Representative District 126","Khan","D",2008
"State Representative District 129","Davis","R",2008
"State Representative District 129","Matula","D",2008
"State Representative District 149","Meyers","R",2008
"State Representative District 149","Vo","D",2008
"State Representative District 133","Murphy","R",2008
"State Representative District 133","Thibaut","D",2008
"State Representative District 137","Hochberg","D",2008
"State Representative District 45","Rose","D",2008
"State Representative District 45","Young","R",2008
"State Representative District 4","Brown","R",2008
